"","id","Cycle","id.1","id.2","value.0.1","value.0.2","BWH","BWD","BWA","IWH","IWD","IWA","LBH","LBD","LBA","BSH","BSD","BSA","value.1","value.2","value.3","value.4","value.5","value.6","value.7","value.8","value.9","value.10","Result"
"1",7809,"1",9823,9790,2.1566298087524,1.21882395260036,1.55,3.7,5.45,1.6,3.6,4.8,1.53,3.5,5.5,1.53,3.75,5.5,0.679508407371268,6.31152024206774,14.4912592409974,0.849931664005019,-8.73070631649915,8.61670253726206,52.2111530781027,0.0870944034184476,-0.053812250259947,0.978868035363016,"0"
"2",7810,"1",8178,9789,1.96669472924483,2.96113205119036,2.05,3.25,3.3,2,3.3,3.2,1.91,3.25,3.4,2,3.25,3.4,0.699220102363193,-7.63553240163009,1.12874068676966,-0.360575613060057,-6.45142245157833,4.17955303601481,400.933468431651,0.492466069393541,0.00225013019323749,-0.976798443151617,"-1"
"3",7811,"1",10189,9904,3.52513152227308,-1.15680891252123,1.6,3.65,5,1.6,3.6,4.8,1.57,3.5,5,1.57,3.75,5,0.970847792481272,4.29151689408975,9.9382769513382,-0.856719679882698,-2.24429078371758,-4.57287343328238,-2.36834371589902,-0.946360122920446,0.137286743757303,-0.735483346772985,"1"
"4",7812,"1",8721,8722,0.388757947828131,0.0991652146913111,1.55,3.75,5.4,1.6,3.6,4.8,1.57,3.5,5,1.57,3.75,5,-0.887837285570522,11.3198755919795,3.47490879679849,0.340975354469033,3.29864974426281,-3.87447194870513,3.46448188296525,0.895893190999839,0.0567678720804376,-0.833381196360719,"1"
"5",7813,"1",9810,8177,1.77147273545266,1.86973563092761,2.35,3.15,2.8,2.2,3.3,2.8,2.2,3.25,2.75,2.25,3.25,2.88,0.61233884211267,-25.8093721534252,12.5130210781346,-2.01950892390125,-0.0653839967209848,-6.18157626309978,52.5851801380182,-0.855808058317837,-0.0292277143823606,0.853549420654696,"-1"
"6",7814,"1",9912,8697,2.64909168009859,3.38458608277142,4,3.4,1.8,3.6,3.2,1.9,3.75,3.3,1.8,4,3.3,1.83,0.351397360420266,6.54132682412258,12.2002986568778,-2.02399644203656,-10.4102412343614,6.78391253510135,49.7764491107969,0.926341310559938,0.0647902378365906,0.878756644171063,"0"
"7",7815,"1",8398,8226,1.48406539248065,3.08173776674084,2.55,3.2,2.55,2.3,3.3,2.6,2.2,3.25,2.75,2.38,3.2,2.7,0.827622252813732,9.76946806642028,0.505162116821213,3.82951886037131,5.17586865590189,1.38612608289359,399.564057854886,0.152492851204809,0.0243119645725967,-0.151664189565283,"-1"
"8",7816,"1",9788,10269,-1.57544533630142,4.37485293229111,2.55,3.2,2.55,2.5,3.2,2.5,2.75,3.25,2.2,2.62,3.1,2.5,0.617014468959017,-11.6936927489196,92.8158517824533,0.496884853333407,-6.68639358389961,-7.64678861668194,400.394201241338,0.90602592883735,0.0180885613787114,-0.251079920292404,"-1"
"9",7817,"1",8295,9911,1.30449598918827,-0.0753236857708544,2.1,3.25,3.2,2.2,3.1,3,2.1,3.2,3,2.25,3.2,2.88,0.836042411642051,-5.76097006652278,0.0629364035253739,-2.01937074611388,2.59186357045741,-8.35405309022226,-1.5255423243503,-0.76827461826734,0.0206825609896987,0.775678444893555,"1"
"10",7818,"1",9790,10269,2.36129192784582,-1.40897265519015,1.9,3.3,3.7,2,3.2,3.3,1.91,3.25,3.4,2,3.2,3.5,0.98356084395131,-22.4455400733506,2.42485038775879,-2.36754863743505,4.33899103851937,10.9807342445115,-1.33426191343017,0.996608185147526,0.0444608569634187,0.0472919820962934,"1"
